"No","Module","RPT_FileName","RPT_Folder","ObjectType","LayoutName","DocCode","TypeCode","Author","Bytes"
"42","C","ทะเบียนคุมภาระผูกพัน (ที่ปรึกษา).rpt","_ExportedFromSAP","","ทะเบียนคุมภาระผูกพัน (ที่ปรึกษา)","RCRI0048","RCRI","manager","128512"
"43","C","ทะเบียนคุมภาระผูกพัน (ผู้เชี่ยวชาญ).rpt","_ExportedFromSAP","","ทะเบียนคุมภาระผูกพัน (ผู้เชี่ยวชาญ)","RCRI0049","RCRI","manager","128512"
"44","C","ทะเบียนคุมรับคืนเงินโครงการ.rpt","_ExportedFromSAP","","ทะเบียนคุมรับคืนเงินโครงการ","RCRI0036","RCRI","Project","103936"
"45","C","ทะเบียนคุมรายได้ค้างรับ.rpt","_ExportedFromSAP","","ทะเบียนคุมรายได้ค้างรับ","RCRI0035","RCRI","manager","306688"
"46","C","ทะเบียนคุมลูกหนี้เงินยืม.rpt","_ExportedFromSAP","","ทะเบียนคุมลูกหนี้เงินยืม","RCRI0028","RCRI","manager","140288"
"47","C","ทะเบียนคุมสัญญา.rpt","_ExportedFromSAP","","ทะเบียนคุมสัญญา","RCRI0022","RCRI","manager","891904"
"48","C","ทะเบียนคุมสินทรัพย์ (ตามกลุ่ม).rpt","_ExportedFromSAP","","ทะเบียนคุมสินทรัพย์ (ตามกลุ่ม)","RCRI0021","RCRI","manager","370688"
"49","C","ทะเบียนคุมสินทรัพย์ (รายตัว).rpt","_ExportedFromSAP","","ทะเบียนคุมสินทรัพย์ (รายตัว)","RCRI0037","RCRI","SLD01","95232"
"50","C","ทะเบียนคุมหลักประกันสัญญา.rpt","_ExportedFromSAP","","ทะเบียนคุมหลักประกันสัญญา","RCRI0026","RCRI","Project","98304"
"51","C","ทะเบียนคุมหลักประกันสัญญา (หนังสือค้ำประกัน).rpt","_ExportedFromSAP","","ทะเบียนคุมหลักประกันสัญญา (หนังสือค้ำประกัน)","RCRI0027","RCRI","manager","134656"
"52","C","บัญชีวัสดุคงเหลือ.rpt","_ExportedFromSAP","","บัญชีวัสดุคงเหลือ","RCRI0010","RCRI","SLD06","55808"
"53","C","ประวัติการซ่อมบำรุงรักษาทรัพย์สิน.rpt","_ExportedFromSAP","","ประวัติการซ่อมบำรุงรักษาทรัพย์สิน","RCRI0042","RCRI","manager","73216"
"54","C","รายงานข้อมูลการจัดซื้อจัดจ้าง (ITA).rpt","_ExportedFromSAP","","รายงานข้อมูลการจัดซื้อจัดจ้าง (ITA)","RCRI0023","RCRI","manager","103424"
"55","C","รายงานดอกเบี้ยเงินฝาก.rpt","_ExportedFromSAP","","รายงานดอกเบี้ยเงินฝาก","RCRI0039","RCRI","manager","77312"
"56","C","รายงานทะเบียนคุมสินทรัพย์ (ตามผู้ดูแล).rpt","_ExportedFromSAP","","รายงานทะเบียนคุมสินทรัพย์ (ตามผู้ดูแล)","RCRI0020","RCRI","manager","93184"
"57","C","รายงานทะเบียนคุมสินทรัพย์ที่เพิ่มมาใหม่.rpt","_ExportedFromSAP","","รายงานทะเบียนคุมสินทรัพย์ที่เพิ่มมาใหม่","RCRI0032","RCRI","manager","73216"
"58","C","รายงานทะเบียนคุมสินทรัพย์รวม.rpt","_ExportedFromSAP","","รายงานทะเบียนคุมสินทรัพย์รวม","RCRI0019","RCRI","manager","85504"
"59","C","รายงานบัญชีวัสดุ.rpt","_ExportedFromSAP","","รายงานบัญชีวัสดุ","RCRI0030","RCRI","manager","76288"
"60","C","รายงานผลการโอนเงินผ่านระบบ KTB (บริหาร).rpt","_ExportedFromSAP","","รายงานผลการโอนเงินผ่านระบบ KTB (บริหาร)","RCRI0038","RCRI","manager","71168"
"61","C","รายงานผลการโอนเงินผ่านระบบ KTB (โครงการ).rpt","_ExportedFromSAP","","รายงานผลการโอนเงินผ่านระบบ KTB (โครงการ)","RCRI0033","RCRI","Project","79360"
"62","C","รายงานผลเบิกใช้.rpt","_ExportedFromSAP","","รายงานผลเบิกใช้","RCRI0031","RCRI","MA","788992"
"63","C","รายงานรายได้จากผู้ผลิต - ผู้นำเข้า (ละเอียด).rpt","_ExportedFromSAP","","รายงานรายได้จากผู้ผลิต - ผู้นำเข้า (ละเอียด)","RCRI0012","RCRI","SLD01","456192"
"64","C","รายงานวัสดุคงเหลือ.rpt","_ExportedFromSAP","","รายงานวัสดุคงเหลือ","RCRI0029","RCRI","manager","77824"
"65","C","รายงานสถานะโครงการที่ได้รับการสนับสนุนเงินกองทุนเพื่อส่งเสริมการอนุรักษ์พลังงาน.rpt","_ExportedFromSAP","","รายงานสถานะโครงการที่ได้รับการสนับสนุนเงินกองทุนเพื่อส่งเสริมการอนุรักษ์พลังงาน","RCRI0046","RCRI","manager","414720"
"66","C","รายงานเงินรับฝากอื่น.rpt","_ExportedFromSAP","","รายงานเงินรับฝากอื่น","RCRI0011","RCRI","manager","237568"
"67","C","รายละเอียดค่าใช้จ่ายจ่ายล่วงหน้า.rpt","_ExportedFromSAP","","รายละเอียดค่าใช้จ่ายจ่ายล่วงหน้า","RCRI0034","RCRI","Project","287744"
"68","C","รายละเอียดค่าใช้จ่ายแผนงาน – โครงการ.rpt","_ExportedFromSAP","","รายละเอียดค่าใช้จ่ายแผนงาน – โครงการ","RCRI0015","RCRI","SLD01","189952"
"69","C","รายละเอียดเงินประกันผลงาน.rpt","_ExportedFromSAP","","รายละเอียดเงินประกันผลงาน","RCRI0040","RCRI","manager","84992"
"70","C","รายละเอียดเงินประกันสัญญา.rpt","_ExportedFromSAP","","รายละเอียดเงินประกันสัญญา","RCRI0041","RCRI","manager","122880"
"71","C","สรุปผลการดำเนินการจัดซื้อจัดจ้าง (สขร.).rpt","_ExportedFromSAP","","สรุปผลการดำเนินการจัดซื้อจัดจ้าง (สขร.)","RCRI0024","RCRI","Project","64000"
"72","C","Incoming Enconfund.rpt","_ExportedFromSAP","24","Incoming Enconfund","RCT10006","RCT1","Project","88576"
"73","C","ใบเสร็จ (ต้นฉบับ).rpt","_ExportedFromSAP","24","ใบเสร็จ (ต้นฉบับ)","RCT10004","RCT1","Project","2878976"
"74","C","ใบเสร็จ (สำเนา).rpt","_ExportedFromSAP","24","ใบเสร็จ (สำเนา)","RCT10005","RCT1","Project","2878976"
"75","C","Outgoing Enconfund.rpt","_ExportedFromSAP","46","Outgoing Enconfund","VPM10005","VPM1","Project","89600"
"76","C","EFT FORM P RUN.rpt","_ExportedFromSAP","","EFT FORM P RUN","VPM40002","VPM4","Project","74752"
